Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46,1,0,644,1,1,4,2,4,1,97,3,3,4,1,2,9396,12368,7,1,16,3,3,1,17,3,3,4,2,0,3
32,0,0,1045,0,4,4,2,4,1,32,1,3,0,4,1,10400,25812,1,1,11,3,3,0,14,2,2,14,8,9,8
30,1,2,829,1,1,1,0,3,1,88,2,3,3,3,0,8474,20925,1,1,22,4,3,0,12,2,3,11,8,5,8
27,1,1,1242,0,20,3,0,4,0,90,3,2,0,3,0,9981,12916,1,1,14,3,4,0,7,2,3,7,7,0,7
51,1,0,1469,1,8,4,0,2,1,81,2,3,7,2,1,12490,15736,5,1,16,3,4,2,16,5,1,10,9,4,7
30,0,0,1005,1,3,3,4,4,0,88,3,1,1,1,0,2657,8556,5,0,11,3,3,0,8,5,3,5,2,0,4
41,1,0,896,0,6,3,0,4,0,75,3,3,5,4,0,13591,14674,3,0,18,3,3,0,16,3,3,1,0,0,0
30,0,1,334,0,26,4,3,3,0,52,2,2,0,1,0,6696,22967,5,1,15,3,3,0,9,5,2,6,3,0,1
29,0,0,992,1,1,3,4,3,1,85,3,1,1,3,0,2058,19757,0,1,14,3,4,0,7,1,2,6,2,1,5
45,1,2,1052,0,6,3,2,4,0,57,2,3,0,4,0,8865,16840,6,1,12,3,4,0,23,2,3,19,7,12,8
54,1,0,1147,0,3,3,3,4,0,52,3,2,0,1,1,5940,17011,2,1,14,3,4,1,16,4,3,6,2,0,5
36,1,0,1396,1,5,2,0,4,1,62,3,2,2,2,0,5914,9945,8,1,16,3,4,0,16,3,4,13,11,3,7
33,1,0,147,1,4,4,2,3,0,47,2,1,1,2,1,2622,13248,6,1,21,4,4,0,7,3,3,3,2,1,1
37,1,1,663,1,11,3,1,2,1,47,3,3,7,4,2,12185,10056,1,0,14,3,3,3,10,1,3,10,8,0,7
38,1,0,119,0,3,3,0,1,1,76,3,3,0,3,2,10609,9647,0,1,12,3,3,2,17,6,2,16,10,5,13
31,1,2,979,1,1,4,2,3,1,90,1,2,3,3,1,4345,4381,0,1,12,3,4,1,6,2,3,5,4,1,4
59,1,0,142,1,3,3,0,3,1,70,2,1,1,4,1,2177,8456,3,1,17,3,1,1,7,6,3,1,0,0,0
37,1,1,319,0,4,4,3,1,1,41,3,1,6,4,2,2793,2539,4,1,17,3,3,1,13,2,3,9,8,5,8
29,1,1,1413,0,1,1,2,2,0,42,3,3,0,4,1,7918,6599,1,1,14,3,4,1,11,5,3,11,10,4,1
35,1,1,944,0,1,3,3,3,0,92,3,3,0,3,0,8789,9096,1,1,14,3,1,0,10,3,4,10,7,0,8
29,0,0,896,1,18,1,2,3,1,86,2,1,1,4,0,2389,14961,1,0,13,3,3,0,4,3,2,4,3,0,1
52,1,0,1323,1,2,3,0,3,0,89,2,1,2,4,0,3212,3300,7,1,15,3,2,0,6,3,2,2,2,2,2
42,1,0,532,1,4,2,4,3,1,58,3,5,5,4,1,19232,4933,1,1,11,3,4,0,22,3,3,22,17,11,15
59,1,0,818,2,6,2,2,2,1,52,3,1,8,3,1,2267,25657,8,1,17,3,4,0,7,2,2,2,2,2,2
50,1,0,854,0,1,4,2,4,0,68,3,5,5,4,2,19517,24118,3,1,11,3,3,1,32,3,2,7,0,0,6
33,0,0,813,1,14,3,2,3,1,58,3,1,2,4,1,2436,22149,5,0,13,3,3,1,8,2,1,5,4,0,4
43,1,0,1034,0,16,3,3,4,0,80,3,4,5,4,1,16064,7744,5,0,22,4,3,1,22,3,3,17,13,1,9
33,0,0,465,1,2,2,0,1,0,39,3,1,2,1,1,2707,21509,7,1,20,4,1,0,13,3,4,9,7,1,7
52,1,2,771,0,2,4,0,1,1,79,2,5,5,3,0,19068,21030,1,0,18,3,4,0,33,2,4,33,7,15,12
32,1,0,1401,0,4,2,0,3,0,56,3,1,6,2,1,3931,20990,2,1,11,3,1,1,6,5,3,4,3,1,2
32,0,0,515,1,1,3,0,4,1,62,2,1,2,3,0,3730,9571,0,0,14,3,4,0,4,2,1,3,2,1,2
39,1,0,1431,1,1,4,2,3,0,96,3,1,2,3,2,2232,15417,7,1,14,3,3,3,7,1,3,3,2,1,2
32,1,2,976,0,26,4,3,3,1,100,3,2,0,4,1,4465,12069,0,1,18,3,1,0,4,2,3,3,2,2,2
41,1,0,1411,1,19,2,0,3,1,36,3,2,1,1,2,3072,19877,2,1,16,3,1,2,17,2,2,1,0,0,0
40,1,0,1300,1,24,2,4,1,1,62,3,2,1,4,2,3319,24447,1,1,17,3,1,2,9,3,3,9,8,4,7
45,1,0,252,1,1,3,1,3,1,70,4,5,5,4,1,19202,15970,0,1,11,3,3,1,25,2,3,24,0,1,7
31,1,1,1327,1,3,4,2,2,1,73,3,3,7,3,2,13675,13523,9,1,12,3,1,1,9,3,3,2,2,2,2
33,1,0,832,1,5,4,0,3,0,63,2,1,1,4,1,2911,14776,1,1,13,3,3,1,2,2,2,2,2,0,2
34,1,0,470,1,2,4,0,4,1,84,2,2,3,1,1,5957,23687,6,1,13,3,2,1,13,3,3,11,9,5,9
37,1,0,1017,1,1,2,2,3,0,83,2,1,1,1,1,3920,18697,2,1,14,3,1,1,17,2,2,3,1,0,2
45,1,1,1199,1,7,4,0,1,1,77,4,2,3,3,1,6434,5118,4,1,17,3,4,1,9,1,3,3,2,0,2
37,0,1,504,1,10,3,2,1,1,61,3,3,3,3,2,10048,22573,6,1,11,3,2,2,17,5,3,1,0,0,0
39,1,1,505,1,2,4,4,3,0,64,3,3,4,3,0,10938,6420,0,1,25,4,4,0,20,1,3,19,6,11,8
29,1,0,665,1,15,3,0,3,1,60,3,1,1,4,0,2340,22673,1,1,19,3,1,0,6,1,3,6,5,1,5
42,1,0,916,1,17,2,0,4,0,82,4,2,1,1,0,6545,23016,3,0,13,3,3,0,10,1,3,3,2,0,2
29,1,0,1247,0,20,2,3,4,1,45,3,2,0,4,2,6931,10732,2,1,14,3,4,1,10,2,3,3,2,0,2
25,1,0,685,1,1,3,0,1,0,62,3,2,3,3,1,4898,7505,0,1,12,3,4,2,5,3,3,4,2,1,2
42,1,0,269,1,2,3,2,4,0,56,2,1,2,1,2,2593,8007,0,0,11,3,3,1,10,4,3,9,6,7,8
40,1,0,1416,1,2,2,2,1,1,49,3,5,7,3,2,19436,5949,0,1,19,3,4,1,22,5,3,21,7,3,9
51,1,0,833,1,1,3,0,3,1,96,3,1,1,4,1,2723,23231,1,1,11,3,2,0,1,0,2,1,0,0,0
31,0,1,307,1,29,2,2,3,1,71,2,1,2,2,0,3479,11652,0,1,11,3,2,0,6,2,4,5,4,1,4
32,1,1,1311,1,7,3,0,2,1,100,4,1,2,2,1,2794,26062,1,1,20,4,3,0,5,3,1,5,1,0,3
38,1,2,1327,0,2,2,0,4,1,39,2,2,0,4,1,5249,19682,3,1,18,3,4,1,13,0,3,8,7,7,5
32,1,0,128,1,2,1,4,4,1,84,2,2,2,1,0,2176,19737,4,1,13,3,4,0,9,5,3,6,2,0,4
46,1,0,488,0,2,3,4,3,0,75,1,4,5,2,1,16872,14977,3,0,12,3,2,1,28,2,2,7,7,7,7
28,0,0,529,1,2,4,0,1,1,79,3,1,2,3,0,3485,14935,2,1,11,3,3,0,5,5,1,0,0,0,0
29,1,0,1210,0,2,3,2,1,1,78,2,2,0,2,1,6644,3687,2,1,19,3,2,2,10,2,3,0,0,0,0
31,1,0,1463,1,23,3,2,2,1,64,2,2,4,4,1,5582,14408,0,1,21,4,2,1,10,2,3,9,0,7,8
25,1,2,675,1,5,2,0,2,1,85,4,2,4,1,2,4000,18384,1,1,12,3,4,2,6,2,3,6,3,1,5
45,1,0,1385,1,20,2,2,3,1,79,3,4,4,4,1,13496,7501,0,0,14,3,2,0,21,2,3,20,7,4,10
36,1,0,1403,1,6,3,0,4,1,47,3,1,2,4,1,3210,20251,0,1,11,3,3,1,16,4,3,15,13,10,11
55,1,0,452,1,1,3,2,4,1,81,3,5,5,1,0,19045,18938,0,0,14,3,3,0,37,2,3,36,10,4,13
47,0,2,666,1,29,4,0,1,1,88,3,3,5,2,1,11849,10268,1,0,12,3,4,1,10,2,2,10,7,9,9
28,1,0,1158,1,9,3,2,4,1,94,3,1,1,4,1,2070,2613,1,1,23,4,4,1,5,3,2,5,2,0,4
37,1,0,228,0,6,4,2,3,1,98,3,2,0,4,1,6502,22825,4,1,14,3,2,1,7,5,4,5,4,0,1
21,1,0,996,1,3,2,2,4,1,100,2,1,1,3,0,3230,10531,1,1,17,3,1,0,3,4,4,3,2,1,0
37,1,2,728,1,1,4,2,1,0,80,3,3,7,4,2,13603,11677,2,0,18,3,1,2,15,2,3,5,2,0,2
35,1,0,1315,1,22,3,0,2,0,71,4,3,5,2,2,11996,19100,7,1,18,3,2,1,10,6,2,7,7,6,2
38,1,0,322,0,7,2,2,1,0,44,4,2,0,1,2,5605,19191,1,0,24,4,3,1,8,3,3,8,0,7,7
26,1,1,1479,1,1,3,0,3,0,84,3,2,3,2,2,6397,26767,1,1,20,4,1,1,6,6,1,6,5,1,4
50,1,0,797,1,4,1,0,1,1,96,3,5,7,2,2,19144,15815,3,1,14,3,1,2,28,4,2,10,4,1,6
53,1,0,1070,1,3,4,2,3,1,45,3,4,7,3,1,17584,21016,3,0,16,3,4,3,21,5,2,5,3,1,3
42,1,0,635,0,1,1,0,2,1,99,3,2,0,3,1,4907,24532,1,1,25,4,3,0,20,3,3,20,16,11,6
29,1,1,442,0,2,2,0,2,1,44,3,2,0,4,0,4554,20260,1,1,18,3,1,0,10,3,2,10,7,0,9
55,1,0,147,1,20,2,4,2,1,37,3,2,2,4,1,5415,15972,3,0,19,3,4,1,12,4,3,10,7,0,8
26,1,1,496,1,11,2,2,1,1,60,3,2,4,1,1,4741,22722,1,0,13,3,3,1,5,3,3,5,3,3,3
37,1,0,1372,1,1,3,0,4,0,42,3,1,1,4,0,2115,15881,1,1,12,3,2,0,17,3,3,17,12,5,7
44,0,1,920,1,24,3,0,4,1,43,3,1,2,3,2,3161,19920,3,0,22,4,4,1,19,0,1,1,0,0,0
38,1,0,688,1,23,4,0,4,1,82,3,2,4,4,2,5745,18899,9,1,14,3,2,1,10,2,3,2,2,1,2
26,0,0,1449,1,16,4,2,1,1,45,3,1,2,2,2,2373,14180,2,0,13,3,4,1,5,2,3,3,2,0,2
28,1,0,1117,1,8,2,0,4,0,66,3,1,1,4,0,3310,4488,1,1,21,4,4,0,5,3,3,5,3,0,2
49,1,1,636,1,10,4,0,3,0,35,3,5,7,1,0,18665,25594,9,0,11,3,4,0,22,4,3,3,2,1,2
36,1,0,506,1,3,3,4,3,1,30,3,2,1,2,0,4485,26285,4,1,12,3,4,0,10,2,3,8,0,7,7
31,1,1,444,0,5,3,3,4,0,84,3,1,6,2,2,2789,3909,1,1,11,3,3,1,2,5,2,2,2,2,2
26,0,0,950,0,4,4,3,4,1,48,2,2,0,4,0,5828,8450,1,0,12,3,2,0,8,0,3,8,7,7,4
37,1,1,889,1,9,3,2,2,1,53,3,1,1,4,1,2326,11411,1,0,12,3,3,3,4,3,2,4,2,1,2
42,1,1,555,0,26,3,3,3,0,77,3,4,0,2,1,13525,14864,5,1,14,3,4,1,23,2,4,20,4,4,8
18,0,0,230,1,3,3,0,3,1,54,3,1,2,3,0,1420,25233,1,1,13,3,3,0,0,2,3,0,0,0,0
35,1,0,1232,0,16,3,3,3,1,96,3,3,0,2,1,8020,5100,0,1,15,3,3,2,12,3,2,11,9,6,9
36,1,1,566,1,18,4,0,3,1,81,4,1,2,4,1,3688,7122,4,1,18,3,4,2,4,2,3,1,0,0,0
51,1,0,1302,1,2,3,2,4,1,84,1,2,3,2,2,5482,16321,5,1,18,3,4,1,13,3,3,4,1,1,2
41,1,0,334,0,2,4,0,4,1,88,3,4,5,2,0,16015,15896,1,1,19,3,2,0,22,2,3,22,10,0,4
18,1,0,812,0,10,3,2,4,0,69,2,1,6,3,0,1200,9724,1,1,12,3,1,0,0,2,3,0,0,0,0
28,1,0,1476,1,16,2,2,2,1,68,4,2,4,1,0,5661,4824,0,1,19,3,3,0,9,2,3,8,3,0,7
31,1,0,218,0,7,3,4,2,1,100,4,2,0,4,1,6929,12241,4,1,11,3,2,1,10,3,2,8,7,7,7
39,1,0,1132,1,1,3,2,3,1,48,4,3,4,4,2,9613,10942,0,1,17,3,1,3,19,5,2,18,10,3,7
36,1,2,1105,1,24,4,0,2,0,47,3,2,2,2,1,5674,6927,7,1,15,3,3,1,11,3,3,9,8,0,8
32,1,0,906,0,7,3,0,4,1,91,2,2,0,3,1,5484,16985,1,1,14,3,3,1,13,3,2,13,8,4,8
38,1,0,849,1,25,2,0,1,0,81,2,3,7,2,1,12061,26707,3,1,17,3,3,1,19,2,3,10,8,0,1
58,1,2,390,1,1,4,0,4,1,32,1,2,4,3,2,5660,17056,2,0,13,3,4,1,12,2,3,5,3,1,2
31,1,0,691,1,5,4,4,3,1,86,3,1,1,4,1,4821,10077,0,0,12,3,3,1,6,4,3,5,2,0,3
31,1,0,106,2,2,3,5,1,1,62,2,2,8,1,1,6410,17822,3,1,12,3,4,0,9,1,3,2,2,1,0
45,1,1,1249,1,7,3,0,1,1,97,3,3,2,1,2,5210,20308,1,1,18,3,1,1,24,2,3,24,9,9,11
31,1,0,192,1,2,4,0,3,1,32,3,1,1,4,2,2695,7747,0,0,18,3,2,1,3,2,1,2,2,2,2
33,1,1,553,1,5,4,0,4,0,74,3,3,5,2,1,11878,23364,6,1,11,3,2,2,12,2,3,10,6,8,8
39,1,0,117,1,10,1,2,3,1,99,3,4,5,1,1,17068,5355,1,0,14,3,4,0,21,3,3,21,9,11,10
43,1,1,185,1,10,4,0,3,0,33,3,1,2,4,0,2455,10675,0,1,19,3,1,0,9,5,3,8,7,1,7
49,1,0,1091,1,1,2,4,3,0,90,2,4,4,3,0,13964,17810,7,0,12,3,4,0,25,2,3,7,1,0,7
52,0,0,723,1,8,4,2,3,1,85,2,2,1,2,1,4941,17747,2,1,15,3,1,0,11,3,2,8,2,7,7
27,1,0,1220,1,5,3,0,3,0,85,3,1,1,2,0,2478,20938,1,0,12,3,2,0,4,2,2,4,3,1,2
32,1,0,588,0,8,2,4,3,0,65,2,2,0,2,1,5228,24624,1,0,11,3,4,0,13,2,3,13,12,11,9
27,1,0,1377,0,2,3,0,4,1,74,3,2,0,3,0,4478,5242,1,0,11,3,1,0,5,3,3,5,4,0,4
31,1,0,691,0,7,3,3,4,1,73,3,2,0,4,2,7547,7143,4,1,12,3,4,3,13,3,3,7,7,1,7
32,1,0,1018,1,2,4,2,1,0,74,4,2,1,4,0,5055,10557,7,1,16,3,3,0,10,0,2,7,7,0,7
28,0,0,1157,1,2,4,2,1,1,84,1,1,1,4,1,3464,24737,5,0,13,3,4,0,5,4,2,3,2,2,2
30,1,0,1275,1,28,2,2,4,0,64,3,2,1,4,1,5775,11934,1,1,13,3,4,2,11,2,3,10,8,1,9
31,1,1,798,1,7,2,0,3,0,48,2,3,3,3,1,8943,14034,1,1,24,4,1,1,10,2,3,10,9,8,9
39,1,1,672,1,7,2,2,3,1,54,2,5,5,4,1,19272,21141,1,1,15,3,1,1,21,2,3,21,9,13,3
39,0,0,1162,0,3,2,2,4,0,41,3,2,0,3,1,5238,17778,4,0,18,3,1,0,12,3,2,1,0,0,0
33,1,1,508,0,10,3,3,2,1,46,2,2,0,4,0,4682,4317,3,1,14,3,3,0,9,6,2,7,7,0,1
47,1,0,1482,1,5,5,0,4,1,42,3,5,7,3,1,18300,16375,4,1,11,3,2,1,21,2,3,3,2,1,1
43,1,1,559,1,10,4,0,3,0,82,2,2,2,3,2,5257,6227,1,1,11,3,2,1,9,3,4,9,7,0,0
27,1,2,210,0,1,1,3,3,1,73,3,2,0,2,1,6349,22107,0,0,13,3,4,1,6,0,3,5,4,1,4
54,1,1,928,1,20,4,0,4,0,31,3,2,1,3,0,4869,16885,3,1,12,3,4,0,20,4,2,4,3,0,3
43,1,0,1001,1,7,3,0,3,0,43,3,3,4,1,1,9985,9262,8,1,16,3,1,1,10,1,2,1,0,0,0
45,1,0,549,1,8,4,1,4,1,75,3,2,1,4,1,3697,9278,9,1,14,3,1,2,12,3,3,10,9,9,8
40,1,0,1124,0,1,2,2,2,1,57,1,2,0,4,1,7457,13273,2,0,22,4,3,3,6,2,2,4,3,0,2
29,0,0,318,1,8,4,1,2,1,77,1,1,2,1,1,2119,4759,1,0,11,3,4,0,7,4,2,7,7,0,7
29,1,0,738,1,9,5,1,2,1,30,2,1,2,4,0,3983,7621,0,1,17,3,3,0,4,2,3,3,2,2,2
30,1,0,570,0,5,3,3,4,0,30,2,2,0,3,2,6118,5431,1,1,13,3,3,3,10,2,3,10,9,1,2
27,1,0,1130,0,8,4,3,2,0,56,3,2,0,2,1,6214,3415,1,1,18,3,1,1,8,3,3,8,7,0,7
37,1,0,1192,1,5,2,2,4,1,61,3,2,3,4,2,6347,23177,7,1,16,3,3,2,8,2,2,6,2,0,4
38,1,0,343,1,15,2,0,3,1,92,2,3,7,4,2,11510,15682,0,0,14,3,2,1,12,3,3,11,10,2,9
31,1,0,1232,1,7,4,2,3,0,39,3,3,3,4,0,7143,25713,1,0,14,3,3,0,11,2,2,11,9,4,10
29,1,0,144,0,10,1,3,4,0,39,2,2,0,2,2,8268,11866,1,0,14,3,1,2,7,2,3,7,7,1,7
35,1,0,1296,1,5,4,4,3,1,62,3,3,3,2,0,8095,18264,0,1,13,3,4,0,17,5,3,16,6,0,13
23,1,0,1309,1,26,1,0,3,1,83,3,1,1,4,2,2904,16092,1,1,12,3,3,2,4,2,2,4,2,0,2
41,1,0,483,1,6,3,2,4,1,95,2,2,3,2,0,6032,10110,6,0,15,3,4,0,8,3,3,5,4,1,2
47,1,1,1309,0,4,1,2,2,1,99,3,2,6,3,0,2976,25751,3,1,19,3,1,0,5,3,3,0,0,0,0
42,1,0,810,1,23,5,0,1,0,44,3,4,7,4,0,15992,15901,2,1,14,3,2,0,16,2,3,1,0,0,0
29,1,2,746,0,2,3,0,4,1,61,3,2,0,3,1,4649,16928,1,1,14,3,1,1,4,3,2,4,3,0,2
42,1,0,544,2,2,1,4,3,1,52,3,1,8,3,2,2696,24017,0,0,11,3,3,1,4,5,3,3,2,1,0
32,1,0,1062,1,2,3,2,3,0,75,3,1,2,2,1,2370,3956,1,1,13,3,3,1,8,4,3,8,0,0,7
48,1,0,530,0,29,1,2,1,0,91,3,3,5,3,1,12504,23978,3,1,21,4,2,1,15,3,1,0,0,0,0
37,1,0,1319,1,6,3,2,3,1,51,4,2,1,1,2,5974,17001,4,0,13,3,1,2,13,2,3,7,7,6,7
30,1,2,641,0,25,2,4,4,0,85,3,2,0,3,1,4736,6069,7,0,12,3,2,1,4,2,4,2,2,2,2
26,1,0,933,0,1,3,0,3,1,57,3,2,0,3,1,5296,20156,1,1,17,3,2,1,8,3,3,8,7,7,7
42,1,0,1332,1,2,4,1,1,1,98,2,2,4,4,0,6781,17078,3,1,23,4,2,0,14,6,3,1,0,0,0
21,0,1,756,0,1,1,4,1,0,99,2,1,6,2,0,2174,9150,1,0,11,3,3,0,3,3,3,3,2,1,2
36,1,2,845,0,1,5,2,4,0,45,3,2,0,4,0,6653,15276,4,1,15,3,2,0,7,6,3,1,0,0,0
36,1,1,541,0,3,4,2,1,1,48,2,3,0,4,1,9699,7246,4,1,11,3,1,1,16,2,3,13,9,1,12
57,1,0,593,1,1,4,2,4,1,88,3,2,4,3,1,6755,2967,2,1,11,3,3,0,15,2,3,3,2,1,2
40,1,0,1171,1,10,4,0,4,0,46,4,1,2,3,1,2213,22495,3,0,13,3,3,1,10,3,3,7,7,1,7
21,1,2,895,0,9,2,2,1,1,39,3,1,6,4,0,2610,2851,1,1,24,4,3,0,3,3,2,3,2,2,2
33,0,0,350,0,5,3,3,4,0,34,3,1,6,3,0,2851,9150,1,0,13,3,2,0,1,2,3,1,0,0,0
37,1,0,921,1,10,3,2,3,0,98,3,1,2,1,1,3452,17663,6,1,20,4,2,1,17,3,3,5,4,0,3
46,1,2,1144,1,7,4,2,3,0,30,3,2,3,3,1,5258,16044,2,1,14,3,3,0,7,2,4,1,0,0,0
41,0,1,143,0,4,3,3,1,1,56,3,2,0,2,0,9355,9558,1,1,18,3,3,0,8,5,3,8,7,7,7
50,1,0,1046,1,10,3,4,4,1,100,2,3,4,4,0,10496,2755,6,1,15,3,4,0,20,2,3,4,3,1,3
40,0,0,575,0,22,2,3,3,1,68,2,2,0,3,1,6380,6110,2,0,12,3,1,2,8,6,3,6,4,1,0
31,1,0,408,1,9,4,0,3,1,42,2,1,1,2,0,2657,7551,0,0,16,3,4,0,3,5,3,2,2,2,2
21,0,0,156,0,12,3,0,3,0,90,4,1,6,2,0,2716,25422,1,1,15,3,4,0,1,0,3,1,0,0,0
29,1,0,1283,1,23,3,0,4,1,54,3,1,1,4,0,2201,18168,9,1,16,3,4,0,6,4,3,3,2,1,2
35,1,0,755,1,9,4,0,3,1,97,2,2,4,2,0,6540,19394,9,1,19,3,3,0,10,5,3,1,1,0,0
27,1,0,1469,1,1,2,2,4,1,82,3,1,2,2,2,3816,17881,1,1,11,3,2,1,5,2,3,5,2,0,4
28,1,0,304,0,9,4,0,2,1,92,3,2,0,4,0,5253,20750,1,1,16,3,4,0,7,1,3,7,5,0,7
49,1,0,1261,1,7,3,1,2,1,31,2,3,4,3,0,10965,12066,8,1,24,4,3,0,26,2,3,5,2,0,0
51,1,0,1178,0,14,2,0,3,0,87,3,2,0,4,1,4936,14862,4,1,11,3,3,1,18,2,2,7,7,0,7
36,1,0,329,1,2,3,0,4,0,96,3,1,1,3,1,2543,11868,4,1,13,3,2,1,6,3,3,2,2,2,2
34,0,2,1362,0,19,3,3,1,1,67,4,2,0,4,0,5304,4652,8,0,13,3,2,0,9,3,2,5,2,0,4
55,1,0,1311,1,2,3,0,3,0,97,3,4,5,4,0,16659,23258,2,0,13,3,3,0,30,2,3,5,4,1,2
24,1,0,1371,0,10,4,3,4,0,77,3,2,0,3,2,4260,5915,1,0,12,3,4,1,5,2,4,5,2,0,3
30,1,0,202,0,2,1,4,3,1,72,3,1,6,2,1,2476,17434,1,1,18,3,1,1,1,3,3,1,0,0,0
26,0,1,575,1,3,1,4,3,1,73,3,1,1,1,0,3102,6582,0,1,22,4,3,0,7,2,3,6,4,0,4
22,1,0,253,1,11,3,2,1,0,43,3,1,1,2,1,2244,24440,1,1,13,3,4,1,2,1,3,2,1,1,2
36,1,0,164,0,2,2,2,2,1,61,2,3,0,3,1,7596,3809,1,1,13,3,2,2,10,2,3,10,9,9,0
30,0,1,464,1,4,3,4,3,1,40,3,1,1,4,0,2285,3427,9,0,23,4,3,0,3,4,3,1,0,0,0
37,1,0,1107,1,14,3,0,4,0,95,3,1,2,1,2,3034,26914,1,1,12,3,3,1,18,2,2,18,7,12,17
40,1,0,759,0,2,2,3,4,0,46,3,2,0,2,2,5715,22553,7,1,12,3,3,2,8,5,3,5,4,1,3
42,1,0,201,1,1,4,0,2,0,95,3,1,2,1,2,2576,20490,3,1,16,3,2,1,8,5,3,5,2,1,2
37,1,0,1305,1,10,4,0,3,1,49,3,2,3,2,0,4197,21123,2,0,12,3,4,0,18,2,2,1,0,0,1
43,1,0,982,1,12,3,0,1,1,59,2,4,7,2,2,14336,4345,1,1,11,3,3,1,25,3,3,25,10,3,9
40,1,0,555,1,2,3,2,2,0,78,2,2,2,3,1,3448,13436,6,1,22,4,2,1,20,3,3,1,0,0,0
54,1,0,821,1,5,2,2,1,1,86,3,5,7,1,1,19406,8509,4,1,11,3,3,1,24,4,2,4,2,1,2
34,1,2,1381,0,4,4,3,3,0,72,3,2,0,3,1,6538,12740,9,1,15,3,1,1,6,3,3,3,2,1,2
31,1,0,480,1,7,2,2,2,0,31,3,2,3,1,1,4306,4156,1,1,12,3,2,1,13,5,1,13,10,3,12
43,1,1,313,1,21,3,2,4,1,61,3,1,2,4,1,2258,15238,7,1,20,4,1,1,8,1,3,3,2,1,2
43,1,0,1473,1,8,4,1,3,0,74,3,2,4,3,2,4522,2227,4,0,14,3,4,0,8,3,3,5,2,0,2
25,1,0,891,0,4,2,0,2,0,99,2,2,0,4,0,4487,12090,1,0,11,3,2,0,5,3,3,5,4,1,3
37,1,2,1063,1,25,5,2,2,0,72,3,2,1,3,1,4449,23866,3,0,15,3,1,2,15,2,3,13,11,10,7
31,1,0,329,1,1,2,0,4,1,98,2,1,2,1,1,2218,16193,1,1,12,3,3,1,4,3,3,4,2,3,2
39,1,1,1218,1,1,1,0,2,1,52,3,5,5,3,2,19197,8213,1,0,14,3,3,1,21,3,3,21,8,1,6
56,1,1,906,0,6,3,0,3,0,86,4,4,0,1,1,13212,18256,9,1,11,3,4,3,36,0,2,7,7,7,7
30,1,0,1082,0,12,3,4,2,0,83,3,2,0,3,0,6577,19558,0,1,11,3,2,0,6,6,3,5,4,4,4
41,1,0,645,0,1,3,3,2,1,49,4,3,0,1,1,8392,19566,1,1,16,3,3,1,10,2,3,10,7,0,7
28,1,0,1300,1,17,2,2,3,1,79,3,2,2,1,2,4558,13535,1,1,12,3,4,1,10,2,3,10,0,1,8
25,0,0,688,1,3,3,2,1,1,91,3,1,2,1,1,4031,9396,5,1,13,3,3,1,6,5,3,2,2,0,2
52,1,0,319,1,3,3,2,4,1,39,2,3,3,3,1,7969,19609,2,0,14,3,3,0,28,4,3,5,4,0,4
45,1,0,192,1,10,2,0,1,1,69,3,1,1,4,1,2654,9655,3,1,21,4,4,2,8,3,2,2,2,0,2
52,1,0,1490,1,4,2,0,4,0,30,3,4,5,4,1,16555,10310,2,1,13,3,4,0,31,2,1,5,2,1,4
42,1,1,532,1,29,2,0,1,0,92,3,2,1,3,2,4556,12932,2,1,11,3,2,1,19,3,3,5,4,0,2
30,1,0,317,1,2,3,0,3,0,43,1,2,3,4,0,6091,24793,2,1,20,4,3,0,11,2,3,5,4,0,2
60,1,0,422,1,7,3,0,1,0,41,3,5,5,1,1,19566,3854,5,1,11,3,4,0,33,5,1,29,8,11,10
46,1,0,1485,1,18,3,2,3,0,87,3,2,3,3,2,4810,26314,2,1,14,3,3,1,19,5,2,10,7,0,8
42,1,1,1368,1,28,4,4,4,0,88,2,2,4,4,1,4523,4386,0,1,11,3,4,3,7,4,4,6,5,0,4
24,0,0,1448,0,1,1,4,1,0,62,3,1,6,2,0,3202,21972,1,0,16,3,2,0,6,4,3,5,3,1,4
34,0,1,296,0,6,2,3,4,0,33,1,1,6,3,2,2351,12253,0,1,16,3,4,1,3,3,2,2,2,1,0
38,1,1,1490,1,2,2,0,4,1,42,3,1,2,4,1,1702,12106,1,0,23,4,3,1,1,3,3,1,0,0,0
40,1,0,1398,0,2,4,0,3,0,79,3,5,5,3,1,18041,13022,0,1,14,3,4,0,21,2,3,20,15,1,12
26,1,0,1349,1,23,3,0,1,0,90,3,1,1,4,2,2886,3032,1,1,22,4,2,2,3,3,1,3,2,0,2
30,1,2,1400,1,3,3,0,3,1,53,3,1,2,4,1,2097,16734,4,1,15,3,3,1,9,3,1,5,3,1,4
29,1,0,986,1,3,4,2,2,1,93,2,3,7,3,1,11935,21526,1,1,18,3,3,0,10,2,3,10,2,0,7
29,0,0,408,1,25,5,4,3,0,71,2,1,1,2,1,2546,18300,5,1,16,3,2,0,6,2,4,2,2,1,1
